Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Харченко,Тетяна,Геннадіївна,жінка,1964-10-10,Локсмайстер,селище Виноградів,"сквер Лиманчик 2-й Лінія 4-та, буд. 104 кв. 9, Подільськ, 89222",500 18 99,khrystyna17@example.net
Шахрай,Людмила,Єфремівна,жінка,1942-12-19,Диригент,хутір Пустомити,"сквер Балтський 3-й, буд. 58, Скалат, 35442",007 220-22-52,teodorzhaivoron@example.org
Батуринець,Ярослава,Миколаївна,жінка,1991-03-15,Менеджер,місто Коростень,"провулок Дунаєвського 3-й, буд. 2 кв. 089, Городок, 92899",+380 86 848 61 90,hermanudovenko@example.com
Арсенич,Святослава,Алевтинівна,жінка,1948-04-05,Стоматолог,селище Іллінці,"проспект Карантинна, буд. 63 кв. 4, Комарно, 59072",+380 87 331-88-58,fkarmaliuk@example.org
Салій,Дарина,Тарасівна,жінка,1967-12-29,Флорист,місто Прилуки,"провулок Марії Демченко 2-й, буд. 103 кв. 50, Болехів, 74000",805 74 83,baidakamaliia@example.org
Чумаченко,Лілія,Охрімівна,жінка,1994-02-04,Перекладач,хутір Чистякове,"набережна Краснослобідська, буд. 9, Теплодар, 53396",057 057-05-61,okseniiapavlyk@example.org
Комар,Василина,Ростиславівна,жінка,1972-02-26,Ветеринар,село Олешки,"проспект Лиманчик 2-й Лінія 4-та, буд. 973 кв. 8, Баштанка, 02753",066 132 98 03,fedir95@example.net
Юрчук,Вікторія,Едуардівна,жінка,1957-06-27,Фрілансер,місто Мелітополь,"площа Набережна, буд. 52, Чернігів, 71977",+380 (30) 499-84-45,korpaniuktetiana@example.net
Затовканюк,Валентина,Макарівна,жінка,1967-02-28,Геофізик,хутір Хрустальний,"парк Північна, буд. 47 кв. 5, Новояворівськ, 71467",+380 (96) 160-28-64,qsheremeta@example.net
Цісик,Тетяна,Спасівна,жінка,1965-09-21,Візажист,село Белз,"парк Новгородський 2-й, буд. 095 кв. 297, Яремче, 10818",646 31 74,bohuslavakhmara@example.com
Забарна,Одарка,Вікторівна,жінка,1967-09-02,Модельєр,селище Ланівці,"набережна Пересипський узвіз, буд. 4, Ясинувата, 50598",+380 49 810-04-52,karassofiia@example.net
Дашенко,Єва,Андріївна,жінка,1983-10-17,Реставратор,село Овруч,"провулок Іцхака Рабіна, буд. 130, Гайворон, 41580",+380 04 531-83-80,arseniurchuk@example.net
Килимник,Вікторія,Георгіївна,жінка,1985-12-21,Ветеринар,місто Ялта,"шосе Головна, буд. 6, Валки , 05830",+380 (00) 712-31-37,dbakumenko@example.net
Ґжицька,Віолетта,Євгенівна,жінка,1976-08-20,Дерун,село Помічна,"проспект Каманіна, буд. 8, Благовіщенське, 87475",+380 89 333-96-06,radamenko@example.net
Титаренко,Ірена,Олегівна,жінка,1939-12-17,Актор,місто Довжанськ,"провулок Цегляна, буд. 8, Галич, 75992",203-46-52,faronets@example.com
Чала,Одарка,Вікторівна,жінка,1974-10-25,Диригент,село Ходорів,"провулок Лютнева, буд. 63, Самбір, 13941",+380 39 604-24-14,nchervonenko@example.org
Гаврюшенко,Валентина,Симонівна,жінка,1981-08-09,Візажист,місто Угнів,"шосе Лінія 30-та, буд. 52 кв. 53, Герца, 23445",046 250-14-16,gpiddubna@example.net
Орлик,Лілія,Гордіївна,жінка,1976-01-25,Музикант,селище Долина ,"провулок Подільська, буд. 653 кв. 724, Ясинувата, 11216",+380 41 183-59-57,bevzbohdan@example.org
Кириленко,Анастасія,Захарівна,жінка,1942-08-31,Літературознавець,село Генічеськ,"провулок 8-ма Лінія Дачі Ковалевського, буд. 4, Боярка, 74338",838 76 74,xmamchur@example.net
Єфименко,Володимира,Омелянівна,жінка,2005-12-03,Бухгалтер,хутір Бібрка,"площа Лінійний, буд. 3, Слов'янськ, 45115",+380 (65) 279-06-06,boleslav13@example.net
Авраменко,Ярослава,Устимівна,жінка,1955-11-12,Каскадер,місто Сокиряни,"проспект Вокзальний, буд. 116 кв. 215, Вашківці, 64104",+380 (49) 326-58-40,zynovii92@example.com
Копитко,Юстина,Андріївна,жінка,1993-04-21,Хореограф,хутір Довжанськ,"площа Садова 4-та, буд. 0 кв. 46, Горішні Плавні, 75315",+380 00 784-80-46,vvlokh@example.net
Комар,Розалія,Яремівна,жінка,2001-12-22,Кінокритик,село Охтирка,"площа Пересипська 7-ма, буд. 8, Тячів, 11161",+380 84 995-52-84,konoplenkozlatoslava@example.com
Палій,Надія,Алевтинівна,жінка,1975-08-23,Мінералог,місто Скадовськ,"проспект Ковалевського, буд. 05 кв. 1, Південне , 26877",191-03-76,vasyl19@example.net
Нестеренко,Ярослава,Іллівна,жінка,1948-10-07,Головний меркшейдер,місто Погребище,"площа Мала Арнаутська, буд. 212, Гадяч, 83694",+380 77 338-76-64,liurchyshyn@example.net
Шамрай,Христина,Богданівна,жінка,1941-05-08,Провізор,хутір Чистякове,"узвіз Виїзна, буд. 25 кв. 01, Нова Одеса, 44159",+380 77 910 61 99,artem99@example.com
Семенченко,Марія,Єфремівна,жінка,2005-07-02,Драматург,хутір Маріуполь,"провулок Картамишевський, буд. 05, Надвірна, 91217",025 630-36-82,adamchukzlatoslava@example.org
Щербань,Віра,Миронівна,жінка,1941-03-28,Дантист,місто Первомайськ,"вулиця Князівська, буд. 582, Овруч, 01776",+380 (53) 279-92-17,jovcharenko@example.net
Артеменко,Світлана,Францівна,жінка,1981-01-25,Громадський діяч,хутір Українка ,"сквер Пересипська 9-та, буд. 5, Тернівка , 11144",+380 (67) 838-34-95,xonyshchenko@example.net
Заєць,Юстина,Микитівна,жінка,1959-10-29,Продюсер,село Сквира,"узвіз Мінська, буд. 48, Перещепине, 92398",+380 (81) 719-34-09,trokhymzaichenko@example.org
Захарченко,Орися,Ігнатівна,жінка,1996-04-06,Доцент,селище Добропілля,"провулок Ліверпульський, буд. 579 кв. 687, Прип'ять , 33883",977 30 33,nadiiahaidenko@example.org
Скоробогатько,Марія,Германівна,жінка,2006-12-19,Зоолог,селище Миронівка,"узвіз Молокова, буд. 0, Погребище, 10468",+380 (66) 020-57-85,habramenko@example.com
Пʼятаченко,Соломія,Болеславівна,жінка,2006-01-29,Геофізик,село Вільнянськ,"вулиця Базарна, буд. 15 кв. 367, Кобеляки, 05835",070 796-66-07,romanarkhypenko@example.com
Давиденко,Ліза,Болеславівна,жінка,1965-03-13,Програміст,хутір Берестечко,"проспект Прохоровський, буд. 13, Броди, 87639",+380 61 259 57 95,albinavdovenko@example.org
Демиденко,Вікторія,Павлівна,жінка,1943-11-08,Медик,село Самбір,"вулиця Бузковий 1-й, буд. 20, Путивль, 80504",+380 24 791-86-05,terezazharko@example.com
Юрчишин,Марія,Григоріївна,жінка,1939-04-26,Професор,село Мерефа,"набережна Вертелецького, буд. 23 кв. 181, Червоноград, 08563",+380 76 443-31-05,valentynakarmaliuk@example.org
Давимука,Сніжана,Валеріївна,жінка,2001-01-24,Доцент,селище Нова Каховка,"шосе Чехова, буд. 688, Сокаль, 81214",059 844 08 67,dannatsymbal@example.net
Чумак,Варвара,Федорівна,жінка,1975-08-14,Піаніст,селище Пустомити,"набережна Павлодарська, буд. 709, Торецьк, 87623",+380 (32) 101-10-22,amaliiabatih@example.com
Сич,Пріска,Леонідівна,жінка,1966-02-18,Редактор,село Харків,"узвіз Князівська, буд. 082 кв. 8, Броди, 79089",+380 (40) 794-96-30,vakulenkoborys@example.net
Данченко,Віолетта,Феофанівна,жінка,1953-07-13,Дантист,селище Сокиряни,"парк Різовська, буд. 124 кв. 30, Білозерське, 26039",048 531 06 55,tvitruk@example.org
Медведенко,Дарина,Лесівна,жінка,1943-08-14,Дипломат,село Острог,"проспект Проектна 2-га, буд. 6, Ланівці, 55638",016 495 94 33,tbazylevskyi@example.com
Затула,Марʼяна,Юстимівна,жінка,1986-05-08,Дерун,селище Шаргород,"провулок Вишнева, буд. 544 кв. 8, Тисмениця, 30939",+380 61 415-06-05,overmenych@example.com
Романенко,Тетяна,Аркадіївна,жінка,2006-05-29,Вчитель,хутір Лутугине,"сквер Водопровідний 2-й, буд. 216 кв. 9, Южноукраїнськ, 74042",+380 32 692 77 94,trokhymiashchenko@example.com
Аронець,Сніжана,Леопольдівна,жінка,1962-07-11,Науковець,селище Долинська,"парк Декабристів, буд. 109, Погребище, 19731",+380 24 125-70-22,oles70@example.org
Дзюба,Аніта,Гордіївна,жінка,2001-06-11,Водій,село Нова Одеса,"сквер Курортний 6-й, буд. 486 кв. 622, Новий Буг, 08763",079 775 26 21,sofiia10@example.net
Василенко,Людмила,Охрімівна,жінка,1943-11-20,М'ясник,місто Жидачів,"площа Святослава Ріхтера, буд. 37, Погребище, 13779",931 29 72,rsheremet@example.net
Бандурка,Альбіна,Арсенівна,жінка,1949-01-17,Гінеколог,хутір Чернігів,"провулок 7-ма Суворовська, буд. 18 кв. 310, Чернігів, 21380",+380 (72) 107-51-69,edytaatamanchuk@example.com
Усик,Ганна,Ростиславівна,жінка,1998-08-30,Візажист,село Сокиряни,"сквер Ванцетті, буд. 761, Дрогобич, 15745",094 00 41,hennadii65@example.net
Жаліло,Еріка,Антонівна,жінка,1982-11-22,Філолог,село Новий Буг,"парк Олександра Тимошенка, буд. 591, Святогірськ, 29132",+380 48 683 79 39,wvivcharenko@example.org
Непорожній,Богданна,Михайлівна,жінка,1962-01-19,Громадський діяч,місто Сокаль,"площа Глазунова 1-й, буд. 0 кв. 5, Трускавець, 57705",+380 (42) 277-20-24,nazar12@example.com
Чередник,Володимира,Альбертівна,жінка,1990-12-10,Євнух,селище Добромиль,"вулиця Студентський 5-й, буд. 923 кв. 09, Федорівка, 86324",651 66 62,zarudnabohuslava@example.net
Фастенко,Альбіна,Данилівна,жінка,1979-08-12,Ботанік,місто Ужгород,"узвіз Травневий 2-й, буд. 0, Українськ, 09350",+380 62 710-62-99,prokhirievtushok@example.com
Чайка,Варвара,Петрівна,жінка,1993-03-28,Електротехнік,місто Тисмениця,"узвіз Яхненка Семена, буд. 7 кв. 579, Жмеринка, 25612",+380 12 738 08 37,ytkachenko@example.org
Єременко,Олена,Єлисеївна,жінка,1977-09-30,Клоун,місто Зіньків,"провулок Кифоренка Бориса, буд. 01, Рівне, 16365",326 76 74,okseniiatkach@example.net
Мамчур,Світлана,Георгіївна,жінка,1997-09-12,Піаніст,селище Хрустальний,"парк Пересипська 1-ша, буд. 58, Мерефа, 43574",108-68-37,lizazaika@example.net
Стець,Марта,Олегівна,жінка,1975-12-28,Філолог,село Немирів,"проспект Володимира Вінниченка, буд. 0, Світлодарськ, 81587",+380 42 891-61-78,vernydubfeofan@example.net
Фаренюк,Надія,Орестівна,жінка,1989-06-03,Агроном,село Славутич,"провулок Басейний 2-й, буд. 748, Вознесенськ, 87100",+380 28 688 52 03,davymukaielysaveta@example.net
Деряжна,Марина,Валентинівна,жінка,1999-09-05,Гірник,хутір Андрушівка,"узвіз Геранієва, буд. 20 кв. 35, Бурштин , 66284",+380 48 888 16 73,nsatsiuk@example.org
Юрченко,Марта,Єфремівна,жінка,1995-11-21,М'ясник,хутір Харцизьк,"набережна Лїнія 1-ша, буд. 2 кв. 26, Радомишль, 64427",312-05-89,petrovasylechko@example.net
Піддубна,Ганна,Амвросійовна,жінка,1978-08-22,Електромонтер,місто Тячів,"проспект Соляний 1-й, буд. 8 кв. 4, Чуднів, 88936",+380 25 164-30-84,asirchenko@example.org
Засядько,Анастасія,Павлівна,жінка,1939-05-28,Слідчий,хутір Бібрка,"вулиця Теліги Олени, буд. 196, Буськ, 99213",016 023-02-64,vdovenkohalyna@example.org
Бандурка,Данна,Марківна,жінка,1957-03-20,Електромонтер,хутір Сторожинець,"проспект Нежданової, буд. 276 кв. 4, Мар'їнка, 22924",+380 84 628 01 11,olehasaula@example.net
Юрчишин,Алла,Євгенівна,жінка,1997-02-25,Співак,місто Ананьїв,"шосе Пироговський, буд. 43, Ізяслав, 81539",540-46-68,maksym43@example.org
Єсипенко,Лілія,Бориславівна,жінка,1941-02-18,Будник,село Світлодарськ,"парк Ярморочна площа, буд. 4, Хорол , 09909",010 215-72-12,orkhypdurdynets@example.org
Закусило,Людмила,Кирилівна,жінка,1961-05-23,Нотаріус,село Нове Давидково,"шосе Монастирський, буд. 95, Білогірськ, 72722",+380 20 490-66-39,liliia20@example.net
Салій,Оксенія,Богданівна,жінка,1988-09-30,Режисер,хутір Монастириська,"набережна Восьмого березня 9-й, буд. 27, Жданівка, 19630",595-54-39,les80@example.net
Зубко,Марина,Демидівна,жінка,1978-10-05,Фольклорист,село Золочів,"узвіз Калинова, буд. 299, Сарни, 07529",+380 22 422-65-73,ddanchuk@example.net
Ісаєвич,Камілла,Петрівна,жінка,1970-05-08,Фізик,хутір Сулимівка (Слов'янськ),"набережна Бузкова, буд. 6, Очаків, 56807",855-20-73,cshtokalo@example.net
Литвиненко,Маруся,Адамівна,жінка,1963-12-02,Ботанік,село Помічна,"провулок Вапняний 3-й, буд. 10 кв. 80, Турка, 59420",024 216-10-10,azar73@example.org
Вітрук,Амалія,Сергіївна,жінка,1978-09-16,Реабілітолог,селище Андрушівка,"вулиця Французький, буд. 33 кв. 45, Чорноморськ, 01129",+380 69 242-41-08,demydtsushko@example.com
Гузій,Людмила,Семенівна,жінка,1942-03-11,Диригент,село Рахів,"сквер Дружний, буд. 2, Благовіщенське, 64001",038 745-95-07,demianenkoiustym@example.net
Якименко,Ярина,Вадимівна,жінка,1941-04-11,Кушнір,село Зугрес,"набережна Берегова, буд. 46, Ясинувата, 70979",044 49 24,ihorrubets@example.com
Онуфрієнко,Емілія,Леонідівна,жінка,1983-06-27,Ґрунтознавець,хутір Вашківці,"узвіз Аптекарський, буд. 3, Рені, 79894",+380 40 381-19-53,hohol-ianovskyipetro@example.org
Бабко,Варвара,Венедиктівна,жінка,1975-10-24,Адвокат,місто Кобеляки,"парк 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 211, Чернівці, 65881",+380 76 922-33-01,ievhenonyshchenko@example.org
Онищенко,Орися,Ігорівна,жінка,1940-07-23,Мікробіолог,місто Буськ,"провулок 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 3 кв. 7, Довжанськ, 40962",095 651-50-77,fshvachka@example.com
Шаповал,Маруся,Тарасівна,жінка,1995-06-19,Соціолог,місто Ланівці,"провулок Дворянська, буд. 831, Красноград, 04274",060 204-80-37,demian97@example.com
Засядько,Лариса,Ростиславівна,жінка,1974-02-04,Педагог,місто Копичинці,"узвіз Орликова, буд. 96 кв. 58, Гадяч, 72145",055 802 41 50,orkhyp17@example.org
Гаєвська,Галина,Максимівна,жінка,1995-03-02,Мистецтвознавець,хутір Перечин,"набережна 1-ша Лінія Марії Демченко, буд. 029 кв. 541, Деражня, 20669",+380 44 226-96-99,uperebyinis@example.org
Демʼянчук,Христина,Артемівна,жінка,1996-02-03,Лікар,хутір Лутугине,"вулиця Мічуріна, буд. 4, Городок, 87759",033 701 03 68,arsenmatviienko@example.com
Вітрук,Амалія,Юстимівна,жінка,1989-07-22,Прокурор,село Яготин,"вулиця Естафетна, буд. 489, Верхньодніпровськ, 24325",122-77-35,alevtynsimashkevych@example.com
Гаєвська,Варвара,Алевтинівна,жінка,1955-12-15,Машиніст,село Волочиськ,"провулок Мічуріна, буд. 88 кв. 847, Городище , 83131",+380 59 192-56-23,iefymenkovalentyna@example.net
Піддубна,Златослава,Георгіївна,жінка,2005-11-22,Музичний редактор,село Буськ,"провулок Василя Кандинського 3-й, буд. 73 кв. 65, Татарбунари, 21887",029 530 93 52,komaroleksa@example.com
Яценко,Віра,Єфремівна,жінка,1988-10-24,Промисловець,селище Сновськ,"парк Хімічний 3-й, буд. 90, Славутич, 39579",+380 (45) 853-67-77,marko27@example.com
Данчук,Амалія,Юстимівна,жінка,2008-04-27,Сценарист,місто Бахчисарай,"провулок Фабрична, буд. 500 кв. 8, Прилуки, 07333",+380 35 287-27-73,oksana40@example.com
Ємець,Мілена,Зорянівна,жінка,1962-01-17,Астронавт,село Гнівань,"вулиця Планетна, буд. 6 кв. 47, Заставна, 92022",+380 (13) 775-44-51,bevzroksolana@example.com
Ващенко,Анжела,Омелянівна,жінка,1964-05-31,Кушнір,хутір Токмак,"проспект Хімічний 2-й, буд. 4 кв. 87, Скадовськ, 24208",406-57-27,mvenhrynovych@example.com
Кальченко,Амалія,Максимівна,жінка,1965-11-15,Економіст,село Бережани,"парк Восьмого Березня Лінія 3-тя, буд. 9, Тульчин, 17986",174 29 37,wdanchenko@example.org
Бабійчук,Анжела,Германівна,жінка,1952-08-16,Дипломат,селище Пустомити,"площа Моторний 2-й, буд. 2 кв. 042, Калуш, 70156",566 66 92,valentyna89@example.net
Чуйко,Орина,Іллівна,жінка,1954-08-26,Музикознавець,село Житомир,"проспект Шишкіна, буд. 94 кв. 891, Новий Калинів, 32704",+380 (24) 825-69-44,erikaverhun@example.com
Якименко,Марʼяна,Варфоломіївна,жінка,1953-02-27,Футболіст,місто Коростишів,"парк Сьома, буд. 527 кв. 95, Малин, 68222",043 780-01-51,babenkooles@example.org
Вівчаренко,Роксолана,Давидівна,жінка,1968-11-07,Редактор,селище Жидачів,"сквер Достоєвського, буд. 70 кв. 18, Зборів, 10402",+380 48 665-02-28,sviatoslavdatsiuk@example.com
Гаврилець,Віра,Микитівна,жінка,2006-03-06,Диригент,місто Марганець ,"парк 14-та ст. Великого Фонтану пляж, буд. 5 кв. 928, Гайворон, 91482",+380 97 629 88 72,olehsmyk@example.com
Жук,Богуслава,Едуардівна,жінка,1950-01-11,Різноробочий,село Стрий,"узвіз Лиманчик 2-й Лінія 4-та, буд. 98, Бровари, 53871",+380 76 610-28-66,vlytvyn@example.com
Бебешко,Любов,Симонівна,жінка,1983-10-17,Фармацевт,місто Деражня,"набережна Тупиковий, буд. 53, Валки , 21137",022 577-51-23,vmazur@example.net
Цибуленко,Орина,Федорівна,жінка,2003-08-17,Співак,місто Апостолове,"набережна Китобійний 1-й, буд. 8 кв. 5, Дергачі, 58377",+380 31 979-07-78,tereshchenkoostap@example.org
Чумаченко,Анастасія,Панасівна,жінка,1987-11-08,Геолог,селище Бар,"провулок Вєтрова, буд. 8 кв. 97, Ялта, 92534",032 197-00-21,vertyporokhhordii@example.org
Павличенко,Аніта,Несторівна,жінка,1968-04-15,Парфюмер,хутір Коростень,"площа Килимовий, буд. 59 кв. 59, Угнів, 85316",087 198-12-29,bohdanprykhodko@example.org
Каденюк,Вікторія,Вадимівна,жінка,1967-08-20,Актор,місто Новоград-Волинський,"площа Аптекарський, буд. 654, Ясинувата, 80365",+380 89 642-56-54,demydenkoalina@example.com
Піддубна,Дарина,Ярославівна,жінка,1972-10-14,Географ,місто Монастирище,"проспект Злакова, буд. 8, Зимогір'я, 06612",454-57-17,barabashmariana@example.org
Верхола,Соломія,Соломонівна,жінка,1962-11-12,Няня,село Роздільна,"площа Шоста, буд. 142, Горлівка, 24295",066 658-73-57,dubasaaron@example.org
Хмара,Тереза,Марківна,жінка,1994-11-22,Піаніст,селище Тлумач,"провулок Бессарабська, буд. 858, Сквира, 18346",+380 33 467-77-47,xzatovkaniuk@example.com
Тиха,Сніжана,Богданівна,жінка,1949-10-06,Шериф,селище Тлумач,"проспект Чорноморська, буд. 2, Угнів, 40954",+380 30 961-07-99,stanislav60@example.com
Акуленко,Амалія,Миронівна,жінка,1987-06-09,Маркетолог,хутір Волочиськ,"сквер Літня, буд. 9 кв. 662, П'ятихатки, 19251",+380 07 811 94 12,makarfastenko@example.org
Хорішко,Христина,Леонідівна,жінка,1959-04-25,Секретар,селище Ірпінь,"вулиця Північна, буд. 5 кв. 1, Антрацит , 37783",743-26-53,aleksiichukamvrosii@example.com
Цибуленко,Соломія,Григоріївна,жінка,1974-10-12,Правник,селище Болехів,"узвіз Немировича-Данченка, буд. 9 кв. 348, Інкерман, 04509",+380 (50) 563-90-41,onufriienkoviktoriia@example.com
Ватаманюк,Людмила,Данилівна,жінка,1962-12-18,М'ясник,хутір Узин,"парк Гранатний, буд. 8 кв. 55, Світлодарськ, 46725",054 670 73 10,albina94@example.com
Дробаха,Богданна,Вʼячеславівна,жінка,1981-06-07,Публіцист,село П'ятихатки,"набережна Щоглова, буд. 9, Радомишль, 86037",002 142 69 39,cbaida@example.com
Ільченко,Богуслава,Трохимівна,жінка,1986-07-16,Реабілітолог,село Ржищів,"шосе Грецька, буд. 2 кв. 0, Вараш, 66405",530-09-93,onishchukalina@example.org
Алексюк,Святослава,Болеславівна,жінка,1949-09-15,Складальник,село Хорол ,"площа Літакова, буд. 0 кв. 2, Сторожинець, 85662",+380 27 986-75-75,dvenhrynovych@example.org
Ватаманюк,Аніта,Михайлівна,жінка,1972-08-07,Зоолог,селище Тростянець,"узвіз Аполона Скальковського, буд. 47, Ялта, 82780",937 88 24,zdevdiuk@example.net
Асаула,Наталія,Вікторівна,жінка,1962-09-21,Музикознавець,село Вовчанськ,"узвіз Осіння, буд. 6 кв. 985, Покров, 79997",446-50-65,hbabiak@example.com
Базилевська,Ада,Орхипівна,жінка,1977-07-17,Ветеринар,хутір Лебедин,"сквер Заньковецької, буд. 938 кв. 204, Берестечко, 01386",089 810 90 82,okseniiakarmaliuk@example.net
Іщенко,Христина,Макарівна,жінка,1991-04-08,Скульптор,село Красноград,"набережна Сергія Ейзенштейна, буд. 0 кв. 9, Саки , 32034",932-89-97,zlatoslavapushkar@example.org
Ткач,Надія,Орестівна,жінка,1970-11-03,Візажист,хутір Білогірськ,"узвіз Бабеля, буд. 46 кв. 524, Балаклія, 51115",+380 14 959-29-06,cholyk@example.net
Чайка,Орися,Омелянівна,жінка,1964-04-15,Промисловець,селище Знам'янка,"проспект Тимірязєва, буд. 534 кв. 482, Бучач, 86497",547 64 10,riefymenko@example.org
Романчук,Богуслава,Бориславівна,жінка,1951-06-05,Конструктор,селище Селидове,"площа Просвіти, буд. 669, Снятин, 45330",097 198 17 43,ada81@example.com
Барабаш,Галина,Пилипівна,жінка,1966-01-01,Архітектор,село Федорівка,"площа Волзький, буд. 4, Львів, 48243",055 386-37-55,sbabak@example.net
Рубець,Святослава,Ростиславівна,жінка,1961-03-03,Дизайнер,місто Сніжне,"шосе Кредитний, буд. 61 кв. 58, Хуст, 03002",+380 30 798 57 83,khmarademian@example.com
Євтушенко,Ольга,Марківна,жінка,1942-02-16,Хореограф,село Тальне,"парк 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 49 кв. 794, Новодністровськ, 25637",022 526 65 10,xandriishyn@example.com
Овсієнко,Марина,Охрімівна,жінка,1975-02-11,Патологоанатом,село Дніпро ,"сквер Лінія 35-та, буд. 4, Рахів, 77272",+380 79 998 27 01,pchaban@example.com
Носаченко,Богуслава,Степанівна,жінка,1944-06-14,Флорист,хутір Семенівка,"площа Сурикова, буд. 18, Ізюм, 97266",+380 (95) 617-91-75,arkadii78@example.org
Ященко,Амалія,Марківна,жінка,1978-06-21,Електрослюсар,селище Кремінна,"проспект Тролейбусна, буд. 988 кв. 7, Чугуїв, 77707",+380 54 677-84-55,dvlasiuk@example.com
Конопленко,Златослава,Зорянівна,жінка,2004-11-12,Композитор,хутір Красноперекопськ,"парк Юрженка Олександра, буд. 22, Камінь-Каширський, 92109",+380 25 346-68-67,qtelizhenko@example.com
Рябошапка,Пріска,Устимівна,жінка,1996-10-22,Електротехнік,хутір Богодухів,"узвіз Університетський, буд. 5 кв. 322, Світловодськ, 59189",310 58 76,khomaskyrda@example.org
Данькевич,Марина,Леонідівна,жінка,2006-02-19,Ветеринар,хутір Канів,"парк Одеський, буд. 6 кв. 145, Баштанка, 79441",513 87 89,bohdanarkhymovych@example.net
Єрьоменко,Юстина,Азарівна,жінка,1962-09-16,Клавішник,селище Миронівка,"проспект Віцеадмірала Азарова, буд. 648 кв. 995, Добромиль, 95006",440-64-79,hartymovych@example.org
Їжак,Оксенія,Макарівна,жінка,1962-07-01,Паралегал,хутір Болехів,"провулок Літературна, буд. 6 кв. 20, Світловодськ, 73544",+380 23 619-45-47,wsmyk@example.net
Приймак,Святослава,Борисівна,жінка,2008-01-01,Акушер,селище Горлівка,"вулиця Лінія 48-ма, буд. 60, Мала Виска, 95973",705-59-20,bohdanna20@example.org
Івасюк,Орина,Германівна,жінка,1950-03-10,Провізор,село Білогірськ,"проспект Градоначальницька, буд. 2, Білопілля, 43012",+380 53 923-66-85,lsirchenko@example.net
Прокопович,Оксенія,Павлівна,жінка,1962-03-24,Професор,селище Кілія,"набережна Богуна, буд. 0, Чернівці, 99574",+380 18 047-00-49,klavdiia12@example.net
Дубина,Анастасія,Богданівна,жінка,1987-02-15,Економіст,місто Обухів,"сквер Липнева, буд. 4 кв. 52, Тальне, 52290",+380 83 333 59 83,vasylynaderhach@example.com
Матяш,Златослава,Охрімівна,жінка,1979-02-05,Доцент,селище Охтирка,"парк Гранатна, буд. 97, Львів, 14451",+380 04 396-19-32,okseniiaalekseienko@example.org
Ільченко,Вікторія,Юхимівна,жінка,1940-05-18,Локсмайстер,село Калуш,"вулиця Некрасова, буд. 4, Бережани, 54101",+380 (33) 888-94-82,azarkhomenko@example.com
Ґереґа,Віра,Вадимівна,жінка,1955-09-26,Каскадер,місто Борзна,"парк Молодіжна, буд. 64 кв. 281, Южноукраїнськ, 09527",001 105 86 65,ppryimak@example.org
Ільєнко,Надія,Устимівна,жінка,1987-03-07,Громадський діяч,село Хотин,"узвіз Олександра Невського 1-й, буд. 367 кв. 1, Луцьк, 59091",+380 63 991 72 26,ssamoilenko@example.org
Андрощук,Софія,Едуардівна,жінка,1988-03-26,Фармацевт,хутір Деражня,"вулиця Вишнева, буд. 7 кв. 72, Чернігів, 37241",050 146-36-41,iustymvashchenko-zakharchenko@example.net
Юрчишина,Ірена,Яремівна,жінка,1942-12-30,Мистецтвознавець,селище Хотин,"вулиця 2-га Суворовська, буд. 63, Верхньодніпровськ, 63887",+380 81 395 63 18,riabetsbohodar@example.org
Бакуменко,Володимира,Соломонівна,жінка,1958-06-22,Філолог,село Феодосія,"площа Ювілейний 2-й, буд. 9, Кадіївка, 32507",+380 (68) 504-56-59,nhavryliuk@example.com
Царенко,Клавдія,Соломонівна,жінка,1944-03-15,Професор,місто Костянтинівка,"провулок Тульська, буд. 07 кв. 9, Рудки, 79413",089 436 52 62,lupiipanas@example.org
Іващенко,Марина,Остапівна,жінка,1997-03-03,Соціолог,селище Ладижин,"шосе Бригадна, буд. 046 кв. 529, Білгород-Дністровський, 19718",067 637 68 74,adamchukklavdiia@example.net
Дахно,Василина,Арсенівна,жінка,1996-08-12,Маркетолог,місто Рівне,"шосе 15-та ст. Великого Фонтану пляж, буд. 0, Білозерське, 22831",+380 28 473-74-98,makarbhydenko@example.com
Скоробогатько,Василина,Олегівна,жінка,1945-11-24,Промисловець,село Мелітополь,"парк Єрмака, буд. 5 кв. 3, Красноград, 27343",+380 (29) 947-71-42,liza23@example.net
Теліженко,Пріска,Захарівна,жінка,1994-07-23,Кінорежисер,селище Заводське,"вулиця Яблучна, буд. 472, Славутич, 17203",027 760-49-17,iakiv96@example.net
Зайченко,Софія,Павлівна,жінка,1992-11-17,Музикознавець,селище Антрацит ,"вулиця Старицького, буд. 19, Перемишляни, 56898",+380 (47) 637-58-31,arkadiideisun@example.net
Палій,Ліза,Йосипівна,жінка,1984-12-18,Маркетолог,місто Родинське,"проспект Кладовищенська, буд. 19 кв. 1, Татарбунари, 47083",036 578-22-44,talanhlib@example.net
Скоробогатько,Ірена,Соломонівна,жінка,1944-04-14,Зоолог,місто Горлівка,"вулиця Поштовий, буд. 361 кв. 0, Луцьк, 57410",+380 70 747-90-54,ysvyrydenko@example.net
